TIMESTAMP_SEND,SENDER_ADDRESS,DESTINATION_ADDRESS,FRAME_COUNT,TEMPERATURE,HUMIDITY,RAW_MESSAGE
1618929215.5337791,3,1,1,25.700000762939453,23.100000381469727,b'\x00\x00\x00@3\xb39@\x00\x00\x00\xa0\x99\x197@p)\xe2\x8f\xb9\x1f\xd8A'
1618929238.0582936,3,1,2,30.0,18.299999237060547,b'\x00\x00\x00\x00\x00\x00>@\x00\x00\x00\xc0\xccL2@\x15\xbb\x83\x95\xb9\x1f\xd8A'
1618929260.5578094,3,1,3,30.0,18.0,b'\x00\x00\x00\x00\x00\x00>@\x00\x00\x00\x00\x00\x002@&\xb3#\x9b\xb9\x1f\xd8A'
1618929283.0925233,3,1,4,30.100000381469727,17.899999618530273,b'\x00\x00\x00\xa0\x99\x19>@\x00\x00\x00`f\xe61@\xe7\xeb\xc5\xa0\xb9\x1f\xd8A'
1618929305.6234608,3,1,5,30.299999237060547,18.0,b'\x00\x00\x00\xc0\xccL>@\x00\x00\x00\x00\x00\x002@\xc8\xe6g\xa6\xb9\x1f\xd8A'
1618929328.1466637,3,1,6,30.399999618530273,17.899999618530273,b'\x00\x00\x00`ff>@\x00\x00\x00`f\xe61@\xf0b\t\xac\xb9\x1f\xd8A'
1618929350.6515212,3,1,7,30.399999618530273,17.799999237060547,b'\x00\x00\x00`ff>@\x00\x00\x00\xc0\xcc\xcc1@\x86\xb2\xa9\xb1\xb9\x1f\xd8A'
1618929373.142767,3,1,8,30.200000762939453,18.299999237060547,b'\x00\x00\x00@33>@\x00\x00\x00\xc0\xccL2@\x18#I\xb7\xb9\x1f\xd8A'
1618929395.6379714,3,1,9,28.899999618530273,17.799999237060547,b'\x00\x00\x00`f\xe6<@\x00\x00\x00\xc0\xcc\xcc1@\x86\xd4\xe8\xbc\xb9\x1f\xd8A'
1618929418.1350524,3,1,10,28.100000381469727,17.799999237060547,b'\x00\x00\x00\xa0\x99\x19<@\x00\x00\x00\xc0\xcc\xcc1@\xb3\xa4\x88\xc2\xb9\x1f\xd8A'
1618929440.634721,3,1,11,28.100000381469727,18.799999237060547,b'\x00\x00\x00\xa0\x99\x19<@\x00\x00\x00\xc0\xcc\xcc2@E\x9f(\xc8\xb9\x1f\xd8A'
1618929463.1388922,3,1,12,28.100000381469727,19.100000381469727,b'\x00\x00\x00\xa0\x99\x19<@\x00\x00\x00\xa0\x99\x193@\x9c\xe3\xc8\xcd\xb9\x1f\xd8A'
1618929485.6336005,3,1,13,28.200000762939453,19.200000762939453,b'\x00\x00\x00@33<@\x00\x00\x00@333@\xe9\x8ch\xd3\xb9\x1f\xd8A'
